24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 18:37:25 | GET | cafeteria-api/categorias
31-03-2026 18:38:06 | GET | cafeteria-api/categorias
31-03-2026 18:38:09 | GET | cafeteria-api/categorias
31-03-2026 18:38:11 | GET | cafeteria-api/categorias
31-03-2026 18:38:54 | POST | cafeteria-api/categorias
31-03-2026 18:38:54 | GET | cafeteria-api/categorias
31-03-2026 18:39:11 | OPTIONS | cafeteria-api/categorias/1
31-03-2026 18:39:11 | DELETE | cafeteria-api/categorias/1
31-03-2026 18:39:11 | GET | cafeteria-api/categorias
31-03-2026 18:39:12 | POST | cafeteria-api/categorias
31-03-2026 18:39:12 | GET | cafeteria-api/categorias
31-03-2026 18:39:14 | POST | cafeteria-api/categorias
31-03-2026 18:39:14 | GET | cafeteria-api/categorias
31-03-2026 18:39:16 | POST | cafeteria-api/categorias
31-03-2026 18:39:16 | GET | cafeteria-api/categorias
31-03-2026 18:39:26 | POST | cafeteria-api/categorias
31-03-2026 18:39:26 | GET | cafeteria-api/categorias
31-03-2026 18:39:40 | GET | cafeteria-api/categorias
31-03-2026 18:39:41 | GET | cafeteria-api/categorias
31-03-2026 18:39:41 | GET | cafeteria-api/categorias
31-03-2026 18:39:42 | GET | cafeteria-api/categorias
31-03-2026 18:39:43 | GET | cafeteria-api/categorias
31-03-2026 18:39:43 | GET | cafeteria-api/categorias
31-03-2026 18:39:43 | GET | cafeteria-api/categorias
31-03-2026 18:39:44 | GET | cafeteria-api/categorias
31-03-2026 18:39:46 | GET | cafeteria-api/categorias
31-03-2026 18:39:47 | GET | cafeteria-api/categorias
31-03-2026 18:40:52 | GET | cafeteria-api/categorias
31-03-2026 18:40:55 | POST | cafeteria-api/categorias
31-03-2026 18:40:55 | GET | cafeteria-api/categorias
31-03-2026 18:40:57 | OPTIONS | cafeteria-api/categorias/5
31-03-2026 18:40:57 | DELETE | cafeteria-api/categorias/5
31-03-2026 18:40:57 | GET | cafeteria-api/categorias
31-03-2026 18:41:27 | GET | cafeteria-api/categorias
31-03-2026 18:41:29 | POST | cafeteria-api/categorias
31-03-2026 18:41:29 | GET | cafeteria-api/categorias
31-03-2026 18:41:31 | OPTIONS | cafeteria-api/categorias/6
31-03-2026 18:41:31 | DELETE | cafeteria-api/categorias/6
31-03-2026 18:41:31 | GET | cafeteria-api/categorias
31-03-2026 18:42:51 | POST | cafeteria-api/categorias
31-03-2026 18:42:51 | GET | cafeteria-api/categorias
31-03-2026 18:42:52 | POST | cafeteria-api/categorias
31-03-2026 18:42:53 | GET | cafeteria-api/categorias
31-03-2026 18:44:26 | GET | cafeteria-api/categorias
31-03-2026 18:44:28 | POST | cafeteria-api/categorias
31-03-2026 18:44:28 | GET | cafeteria-api/categorias
31-03-2026 18:45:21 | GET | cafeteria-api/categorias
31-03-2026 18:45:21 | GET | cafeteria-api/categorias
31-03-2026 18:45:24 | POST | cafeteria-api/categorias
31-03-2026 18:45:25 | GET | cafeteria-api/categorias
31-03-2026 18:45:30 | OPTIONS | cafeteria-api/categorias/10
31-03-2026 18:45:30 | DELETE | cafeteria-api/categorias/10
31-03-2026 18:45:30 | GET | cafeteria-api/categorias
31-03-2026 18:46:09 | GET | cafeteria-api/categorias
31-03-2026 18:49:26 | GET | cafeteria-api/categorias
31-03-2026 18:49:27 | GET | cafeteria-api/categorias
31-03-2026 18:49:28 | GET | cafeteria-api/categorias
31-03-2026 18:49:29 | GET | cafeteria-api/categorias
31-03-2026 18:49:35 | GET | cafeteria-api/categorias
31-03-2026 18:49:43 | GET | cafeteria-api/categorias
31-03-2026 18:49:59 | GET | cafeteria-api/categorias
31-03-2026 18:50:03 | GET | cafeteria-api/categorias
31-03-2026 18:50:11 | GET | cafeteria-api/categorias
31-03-2026 18:50:15 | GET | cafeteria-api/categorias
31-03-2026 18:50:17 | GET | cafeteria-api/categorias
31-03-2026 18:50:24 | GET | cafeteria-api/categorias
31-03-2026 18:50:27 | GET | cafeteria-api/categorias
31-03-2026 18:50:56 | GET | cafeteria-api/categorias
31-03-2026 18:51:08 | POST | cafeteria-api/categorias
31-03-2026 18:51:08 | GET | cafeteria-api/categorias
31-03-2026 18:52:10 | GET | cafeteria-api/categorias
31-03-2026 18:52:14 | GET | cafeteria-api/categorias
31-03-2026 18:52:25 | GET | cafeteria-api/categorias
31-03-2026 18:52:25 | GET | cafeteria-api/categorias
31-03-2026 18:52:32 | GET | cafeteria-api/categorias
31-03-2026 18:52:42 | GET | cafeteria-api/categorias
31-03-2026 19:00:10 | GET | cafeteria-api/categorias
31-03-2026 19:00:19 | GET | cafeteria-api/categorias
31-03-2026 19:00:21 | GET | cafeteria-api/categorias
31-03-2026 19:00:32 | GET | cafeteria-api/produtos
31-03-2026 19:00:34 | GET | cafeteria-api/produtos.php
31-03-2026 19:03:20 | GET | cafeteria-api/produtos.php
31-03-2026 19:03:22 | GET | cafeteria-api/categorias
31-03-2026 19:03:24 | GET | cafeteria-api/produtos.php
31-03-2026 19:04:16 | GET | cafeteria-api/produtos.php
31-03-2026 19:07:51 | GET | cafeteria-api/produtos.php
31-03-2026 19:07:51 | GET | cafeteria-api/produtos.php
31-03-2026 19:07:54 | GET | cafeteria-api/produtos.php
31-03-2026 19:08:48 | POST | cafeteria-api/categorias
31-03-2026 19:09:03 | POST | cafeteria-api/produtos
31-03-2026 19:09:06 | POST | cafeteria-api/produtos
31-03-2026 19:09:07 | POST | cafeteria-api/produtos
31-03-2026 19:09:08 | POST | cafeteria-api/produtos
31-03-2026 19:09:08 | POST | cafeteria-api/produtos
31-03-2026 19:09:09 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:12 | POST | cafeteria-api/produtos
31-03-2026 19:09:12 | POST | cafeteria-api/produtos
